date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2011-09-20,12.442140492387326,11.658475467182157,1,0,1,0,0.7836650252051687,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-21,12.573675330211042,11.918826156763254,1,0,1,0,0.6548491734477881,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-22,12.016062819957495,11.998758361703501,1,0,1,0,0.01730445825399407,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-23,11.993594432832626,12.018099717557865,1,0,1,0,0.024505284725238496,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-26,11.981005227294892,12.0768953974434,1,0,1,0,0.09589017014850754,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-27,12.24678117234346,12.153192884139088,1,0,1,0,0.09358828820437282,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-28,11.990896932683505,12.319271178144868,1,0,1,0,0.3283742454613634,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-29,12.042736218737089,12.204600620690258,1,0,1,0,0.16186440195316898,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-30,11.599274778296964,12.186261255922593,1,0,1,0,0.5869864776256293,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-03,11.39702978760229,12.155978875454023,1,0,0,1,0.7589490878517324,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-04,11.223244200120572,12.127411531623448,1,0,0,1,0.904167331502876,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-05,11.022190654872343,12.160573569887704,1,0,1,0,1.1383829150153613,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-06,11.186091314048015,11.938426110514898,1,0,1,0,0.752334796466883,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-07,11.259502154356165,11.844687885969426,0,1,0,1,0.5851857316132616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-10,11.358674893965482,11.771115011354555,0,1,0,1,0.4124401173890728,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-11,11.762578544350868,11.767019809081921,0,1,0,1,0.004441264731052996,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-12,12.20513071323185,11.873711639621709,0,1,1,0,0.33141907361014056,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-13,12.134416578764698,11.827984113953113,1,0,1,0,0.3064324648115857,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-14,12.489479523779428,11.833800122414589,1,0,1,0,0.6556794013648393,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-17,12.636601800810018,11.840777849605539,1,0,1,0,0.7958239512044791,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-18,12.637193474144471,12.010780255706381,1,0,1,0,0.6264132184380902,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-19,12.025653212668145,12.206466938917314,1,0,1,0,0.1808137262491698,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-20,11.985201974630876,12.116890527889261,1,0,0,1,0.13168855325838535,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-21,11.9282766088767,12.09585114649208,1,0,0,1,0.16757453761537988,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-24,11.870743692454104,12.073652059410241,0,1,0,1,0.20290836695613734,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-25,12.13591809783522,12.109585525453966,0,1,0,1,0.026332572381253527,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-26,12.037934873271988,12.195810670633996,0,1,1,0,0.15787579736200819,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-27,12.21171952255165,12.102607782815378,0,1,0,1,0.10911173973627264,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-28,12.075091172782978,12.106561048395406,0,1,1,0,0.03146987561242831,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-31,12.057716677767852,12.062722138759602,0,1,1,0,0.005005460991750255,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
