date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2011-09-20,7.238951217422909,6.721657629978782,1,0,1,0,0.5172935874441276,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-21,7.204478907355565,6.842469703240757,1,0,1,0,0.3620092041148082,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-22,6.661558476295888,6.8854321311203,1,0,1,0,0.2238736548244118,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-23,6.480585336479543,6.834510849539644,1,0,1,0,0.35392551306010045,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-26,7.10106811789091,6.916630327075182,1,0,1,0,0.18443779081572842,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-27,7.299277060322373,7.001749793095336,1,0,1,0,0.2975272672270366,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-28,6.93732973917738,7.092698110936572,1,0,1,0,0.1553683717591925,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-29,7.101066668041062,7.036757290043622,1,0,1,0,0.06430937799744019,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-30,6.773591225289541,7.041663937284458,1,0,1,0,0.26807271199491645,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-03,6.368552787440549,7.09645585953535,1,0,1,0,0.7279030720948008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-04,5.885957002031226,7.057517582905074,1,0,1,0,1.171560580873848,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-05,6.299612119701463,6.952652390422549,1,0,0,1,0.6530402707210863,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-06,6.471967453856417,6.848724453057727,1,0,1,0,0.37675699920131045,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-07,6.80806216956114,6.766447213839724,1,0,1,0,0.041614955721415825,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-10,6.825298729881935,6.858151306978653,1,0,1,0,0.032852577096717184,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-11,6.868386956134447,6.876697156366686,1,0,1,0,0.008310200232238607,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-12,7.0752122169130445,6.920083135702797,1,0,1,0,0.15512908121024704,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-13,7.170007216976336,6.8999605823603325,1,0,1,0,0.2700466346160031,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-14,7.54057629806541,6.882354454090342,1,0,1,0,0.6582218439750687,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-17,7.454395210309027,7.020435544475804,1,0,1,0,0.433959665833223,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-18,7.230333730956443,7.091987837365666,1,0,1,0,0.13834589359077665,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-19,7.454397142067832,7.158100639691362,1,0,1,0,0.2962965023764701,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-20,7.290657713005562,7.157395122680284,1,0,1,0,0.13326259032527776,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-21,7.5491910012702865,7.139531834834693,1,0,1,0,0.40965916643559375,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-24,7.497486394713553,7.261098100132594,0,1,1,0,0.23638829458095856,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-25,7.454397036629877,7.287130340809218,0,1,1,0,0.16726669582065945,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-26,7.428544074154354,7.38865709156253,0,1,1,0,0.039886982591823994,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-27,7.583663988890121,7.351471033779627,0,1,1,0,0.2321929551104942,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-28,7.368218072110931,7.359308636578017,0,1,1,0,0.00890943553291379,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-31,7.247568948323566,7.4561342514688045,0,1,1,0,0.2085653031452388,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-11-01,7.0665955205326885,7.453880375555173,0,1,1,0,0.3872848550224841,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-02,7.238950643380646,7.491871503774215,0,1,1,0,0.2529208603935693,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
