date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2012-10-10,19.774820612877797,21.837131193514598,1,0,1,0,2.062310580636801,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-11,19.725206961104305,21.81109682433116,1,0,1,0,2.0858898632268534,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-12,19.59621823683211,21.629079834418437,0,1,0,1,2.032861597586326,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-15,19.526763588918843,21.776879916381592,0,1,0,1,2.2501163274627487,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-16,19.526766870932978,21.3059491081904,0,1,0,1,1.779182237257423,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-17,19.34816789465832,20.440215187605457,0,1,0,1,1.0920472929471359,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-18,19.54660938452589,20.544397979029885,0,1,0,1,0.9977885945039944,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-19,18.8520565032959,20.28210130033249,0,1,0,1,1.4300447970365902,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-22,19.050500636358063,20.07027132858027,0,1,0,1,1.019770692222206,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-23,19.10011399097932,19.63990251782799,0,1,0,1,0.5397885268486711,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-24,23.942113733024257,19.155190177260206,0,1,0,1,4.7869235557640515,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-25,23.10865574820718,20.1992421560622,1,0,1,0,2.909413592144979,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-26,22.225586242032644,20.636004038923762,1,0,1,0,1.5895822031088827,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-10-31,20.65788815661212,20.67422830118446,1,0,1,0,0.016340144572339454,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2012-11-01,20.91586246138145,20.98481592936646,1,0,1,0,0.06895346798500768,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2012-11-02,21.094462235921394,20.922879598416912,1,0,0,1,0.171582637504482,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
