date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2019-05-03,28.88999938964844,26.25423737742665,1,0,1,0,2.6357620122217895,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-06,26.3799991607666,26.775996932318286,1,0,1,0,0.39599777155168425,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-07,27.18000030517578,27.327443079580476,1,0,1,0,0.1474427744046949,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-08,23.700000762939453,26.99044221166262,1,0,1,0,3.2904414487231683,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-09,23.5,26.22780183478045,1,0,0,1,2.7278018347804505,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-10,23.040000915527344,26.924504377927565,1,0,0,1,3.8845034624002217,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-13,24.459999084472656,26.57894860894921,1,0,0,1,2.1189495244765553,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-14,24.5,27.319221726211207,1,0,0,1,2.8192217262112074,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-15,23.459999084472656,26.409398854520308,1,0,0,1,2.949399770047652,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-16,23.5,25.954044897639022,1,0,0,1,2.4540448976390223,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-17,23.309999465942383,26.632208632551762,1,0,0,1,3.3222091666093796,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-20,22.850000381469727,25.973338504652116,1,0,0,1,3.123338123182389,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-21,22.649999618530277,26.43093004173691,1,0,0,1,3.780930423206634,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-22,22.649999618530277,25.232595893514137,1,0,1,0,2.5825962749838602,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-23,21.75,24.553943042723546,1,0,0,1,2.803943042723546,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-24,21.559999465942383,24.521918953522057,0,1,0,1,2.9619194875796744,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-28,22.299999237060547,24.72794742795138,0,1,0,1,2.4279481908908345,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-29,21.709999084472656,23.647432961754305,0,1,0,1,1.9374338772816486,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-30,21.84000015258789,23.07176546750079,0,1,0,1,1.2317653149128986,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-05-31,21.15999984741211,22.943964090641344,0,1,0,1,1.783964243229235,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019-06-03,20.790000915527344,22.548058105078958,0,1,0,1,1.7580571895516144,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-04,19.76000022888184,22.941781088243918,0,1,0,1,3.181780859362078,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-05,19.200000762939453,21.502245222445566,0,1,0,1,2.302244459506113,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-06,17.829999923706055,20.919480362839675,0,1,0,1,3.08948043913362,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-07,17.709999084472656,20.88225181188329,0,1,0,1,3.1722527274106334,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-10,17.850000381469727,19.907077780527093,0,1,0,1,2.0570773990573663,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-11,16.09000015258789,19.97674431910351,0,1,0,1,3.8867441665156193,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-12,16.110000610351562,18.717691716977047,0,1,0,1,2.6076911066254844,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-13,16.420000076293945,17.810048643603654,0,1,0,1,1.3900485673097087,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-14,16.25,17.994093633738483,0,1,0,1,1.7440936337384834,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-17,15.539999961853027,17.046725555097797,0,1,0,1,1.50672559324477,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-18,15.899999618530272,17.07664527861586,0,1,0,1,1.1766456600855886,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-19,15.75,16.436684702754572,0,1,0,1,0.6866847027545724,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-20,15.850000381469728,15.886120393794238,0,1,0,1,0.03612001232450979,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-21,15.199999809265137,16.003591632966828,0,1,0,1,0.8035918237016908,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-24,14.40999984741211,15.179369386277802,0,1,0,1,0.7693695388656927,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-25,14.109999656677246,15.27359963647465,0,1,0,1,1.1635999797974037,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-26,13.920000076293944,14.531380206648238,0,1,0,1,0.611380130354295,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-27,13.5,14.17566816293432,0,1,0,1,0.6756681629343202,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-06-28,14.40999984741211,14.186514125109767,0,1,0,1,0.22348572230234254,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019-07-01,14.859999656677246,13.520885776808804,0,1,0,1,1.3391138798684423,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-02,14.710000038146973,13.794150562528829,0,1,0,1,0.9158494756181437,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-03,14.5,13.376240434837515,0,1,0,1,1.1237595651624854,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-05,15.470000267028809,13.34421904059211,0,1,0,1,2.1257812264366986,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-08,14.890000343322754,13.073561706784712,0,1,0,1,1.8164386365380416,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-09,14.3100004196167,13.382620170138958,0,1,0,1,0.927380249477741,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-10,14.9399995803833,12.957499858108985,0,1,0,1,1.9824997222743157,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-11,14.5600004196167,12.710863214897351,0,1,0,1,1.849137204719348,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-12,14.270000457763672,13.251004457977619,0,1,0,1,1.0189959997860534,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-15,14.279999732971191,12.778711029902903,0,1,0,1,1.5012887030682887,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-16,14.31999969482422,13.030392305717722,0,1,0,1,1.2896073891064983,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-17,14.170000076293944,12.6961634726641,0,1,0,1,1.4738366036298434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-18,14.09000015258789,12.594582696319273,0,1,0,1,1.4954174562686173,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-19,14.289999961853027,12.82278057651103,0,1,0,1,1.4672193853419966,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-22,14.220000267028809,12.524118813877946,0,1,0,1,1.6958814531508626,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-23,14.0600004196167,12.737479899181208,0,1,0,1,1.322520520435491,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-24,13.75,12.408700420675414,0,1,0,1,1.3412995793245859,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-25,14.510000228881836,12.27843500647748,0,1,0,1,2.231565222404356,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-26,13.59000015258789,12.699338886462254,0,1,1,0,0.8906612661256368,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-29,14.170000076293944,12.480089889311865,0,1,0,1,1.689910186982079,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-30,13.609999656677246,12.688878702043521,0,1,1,0,0.9211209546337251,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-07-31,13.420000076293944,12.497182785797536,0,1,0,1,0.9228172904964076,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-08-01,13.199999809265137,12.312611934090695,0,1,0,1,0.8873878751744417,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-02,13.0,12.736277116396808,0,1,0,1,0.26372288360319196,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-05,12.550000190734863,12.736180660847651,0,1,0,1,0.18618047011278804,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-06,12.5,12.7179113507437,0,1,0,1,0.21791135074369983,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-07,12.260000228881836,12.394375125773117,0,1,0,1,0.13437489689128057,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-08,12.90999984741211,12.270175722445504,0,1,0,1,0.639824124966605,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-09,13.140000343322754,12.566449791528106,0,1,0,1,0.5735505517946482,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-12,13.420000076293944,12.320648744818849,0,1,0,1,1.099351331475095,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-13,13.0,12.601889011681251,0,1,0,1,0.3981109883187486,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-14,13.079999923706056,12.2755836109322,0,1,0,1,0.8044163127738564,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-15,12.720000267028809,12.304232475573029,0,1,0,1,0.4157677914557798,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-16,12.850000381469728,12.520283096467121,0,1,0,1,0.3297172850026069,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-19,13.25,12.353599929018046,0,1,0,1,0.8964000709819544,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-20,13.869999885559082,12.57267892999185,0,1,0,1,1.2973209555672316,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-21,14.25,12.376790673649102,0,1,0,1,1.8732093263508975,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-22,14.369999885559082,12.411986827640206,1,0,1,0,1.9580130579188761,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-23,14.079999923706056,12.743602570003391,0,1,1,0,1.3363973537026652,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-26,14.010000228881836,12.712363006040134,0,1,0,1,1.2976372228417024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-27,15.170000076293944,12.940494530315233,0,1,1,0,2.2295055459787108,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-28,14.510000228881836,12.859713917300065,0,1,1,0,1.6502863115817714,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-29,14.90999984741211,12.903570358274346,0,1,1,0,2.006429489137764,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-08-30,15.300000190734863,13.247090268752581,0,1,1,0,2.052909921982282,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-09-03,16.100000381469727,13.469470596489494,0,1,1,0,2.630529784980233,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-04,15.109999656677246,13.478665814782591,1,0,1,0,1.631333841894655,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-05,15.649999618530272,13.458027417651541,1,0,1,0,2.1919722008787303,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-06,15.5600004196167,13.889063610614038,1,0,1,0,1.6709368090026615,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-09,15.979999542236328,13.983054235920122,1,0,1,0,1.9969453063162064,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-10,16.059999465942383,14.450764851946492,1,0,1,0,1.6092346139958913,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-11,17.34000015258789,14.305625386465998,1,0,1,0,3.0343747661218927,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-12,16.229999542236328,14.4010534819585,1,0,1,0,1.8289460602778274,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-13,16.450000762939453,14.948554902184021,1,0,1,0,1.5014458607554317,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-16,16.729999542236328,14.971303028497296,1,0,1,0,1.7586965137390322,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-17,17.459999084472656,15.633784693521182,1,0,1,0,1.826214390951474,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-18,17.770000457763672,15.477762420264002,1,0,1,0,2.2922380374996703,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-19,17.709999084472656,15.591843399921695,1,0,1,0,2.1181556845509615,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-20,18.13999938964844,16.123514923273753,1,0,1,0,2.0164844663746884,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-23,18.239999771118164,16.397529378451615,1,0,1,0,1.8424703926665487,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-24,17.829999923706055,16.87580296342343,1,0,1,0,0.9541969602826263,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-25,17.709999084472656,16.993329738953896,1,0,1,0,0.7166693455187598,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-26,17.40999984741211,16.876670636526775,1,0,1,0,0.5333292108853342,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-27,16.290000915527344,17.406475563943726,1,0,1,0,1.116474648416382,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-30,15.789999961853027,17.488585433091206,1,0,1,0,1.6985854712381787,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019-10-01,15.869999885559082,17.75466601001215,1,0,1,0,1.8846661244530694,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-02,14.779999732971191,17.440949623598758,1,0,1,0,2.660949890627567,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-03,15.239999771118164,17.11736696519831,1,0,0,1,1.877367194080147,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-04,15.050000190734863,17.433188199315413,1,0,1,0,2.38318800858055,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-07,15.449999809265137,17.35738088478267,1,0,0,1,1.9073810755175344,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-08,15.359999656677246,17.61420400474626,1,0,1,0,2.2542043480690133,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-09,15.329999923706056,17.098486587062435,1,0,0,1,1.768486663356379,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-10-10,14.130000114440918,16.838762050314266,1,0,0,1,2.7087619358733477,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
