date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2011-09-20,0.3513577128541542,0.3260011011184866,1,0,1,0,0.025356611735667556,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-21,0.3398979552586499,0.33794583458474986,1,0,1,0,0.0019521206739000485,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-22,0.3185826414540676,0.33729621607065235,1,0,1,0,0.01871357461658474,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-23,0.3078105752323108,0.3393439871463482,1,0,1,0,0.03153341191403741,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-26,0.3199579760061383,0.334485069748099,1,0,1,0,0.014527093741960706,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-27,0.32477098459851,0.33578430740315773,1,0,1,0,0.01101332280464773,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-28,0.3178951555819727,0.3394199875783407,1,0,1,0,0.02152483199636801,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-29,0.3130820267007329,0.33420386437288596,0,1,1,0,0.021121837672153088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-30,0.2952046017433778,0.33243200674156614,0,1,1,0,0.03722740499818833,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-03,0.2830572009761306,0.32833059584152396,0,1,0,1,0.04527339486539339,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-04,0.2640340104116985,0.3245131475701419,0,1,0,1,0.060479137158443386,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-05,0.2949754879569857,0.32101718151098757,1,0,0,1,0.026041693554001877,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-06,0.3078105077164806,0.31433248442193745,1,0,1,0,0.0065219767054568445,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-07,0.3197285605970745,0.31418517214986175,0,1,0,1,0.005543388447212749,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-10,0.3298134867329009,0.3123860311565479,0,1,1,0,0.017427455576353,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-11,0.3360016584598566,0.31500607669019437,0,1,1,0,0.020995581769662208,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-12,0.3415024370417018,0.3228133779977636,0,1,1,0,0.018689059043938194,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-13,0.3332511978884386,0.32093187215279245,0,1,1,0,0.012319325735646147,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-14,0.3605255183250311,0.32213673315186275,0,1,0,1,0.03838878517316835,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-17,0.3561708730785207,0.32335909783602956,0,1,1,0,0.032811775242491126,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-18,0.3405856082010799,0.3275249634361414,0,1,1,0,0.013060644764938512,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-19,0.3552540846214476,0.3342263414434566,1,0,1,0,0.021027743177991,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-20,0.3382935497142575,0.3328658149102437,1,0,1,0,0.005427734804013817,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-21,0.3343972659253836,0.3348678720866379,1,0,1,0,0.00047060616125427224,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-24,0.3332513500915706,0.33339057460117644,0,1,1,0,0.00013922450960585087,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-25,0.3394394772501725,0.3343080172819717,0,1,1,0,0.005131459968200802,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-26,0.3376060523701662,0.34145565651996124,0,1,1,0,0.003849604149795016,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-27,0.3474614766826697,0.33741113833175773,0,1,1,0,0.010050338350911958,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-28,0.3465446775164208,0.33899491689431493,0,1,1,0,0.007549760622105883,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-31,0.3460862098907603,0.3394698669599474,0,1,1,0,0.0066163429308128685,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-11-01,0.3268337791745444,0.33989830680297806,0,1,1,0,0.013064527628433631,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-02,0.3254586699115645,0.3452683660329347,0,1,1,0,0.01980969612137018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-03,0.3201869808852263,0.3410873092231378,0,1,1,0,0.0209003283379115,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-04,0.332792900845385,0.34126142246997626,0,1,1,0,0.008468521624591274,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2011-11-07,0.3371475397900776,0.34006518766338273,0,1,1,0,0.002917647873305118,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
