date,open,open_pred,is_high_vol,is_low_vol,is_uptrend,is_downtrend,conformity_score,is_monday,is_tuesday,is_wednesday,is_thursday,is_friday,is_q1,is_q2,is_q3,is_q4,is_january,is_february,is_march,is_april,is_may,is_june,is_july,is_august,is_september,is_october,is_november,is_december
2011-09-20,20.809999465942383,19.090602523250627,1,0,1,0,1.7193969426917555,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-21,20.670000076293945,19.587440149172064,1,0,1,0,1.0825599271218813,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-22,19.56999969482422,19.897712997701014,0,1,1,0,0.3277133028767949,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-23,19.020000457763672,19.70104879224984,0,1,1,0,0.6810483344861673,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-26,20.61000061035156,20.08840007572541,0,1,1,0,0.521600534626149,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-27,21.790000915527344,20.160289727207306,1,0,1,0,1.6297111883200373,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-28,20.649999618530277,20.65492497792048,1,0,1,0,0.004925359390202999,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-29,21.149999618530277,20.670930730408465,1,0,1,0,0.47906888812181236,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-09-30,20.34000015258789,20.599211698636505,1,0,1,0,0.25921154604861485,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2011-10-03,19.15999984741211,21.159240496115597,1,0,1,0,1.9992406487034877,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-04,17.3700008392334,20.943288349009215,1,0,1,0,3.5732875097758168,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-05,17.969999313354492,20.599884506938107,1,0,0,1,2.6298851935836147,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-06,18.75,20.217320437308466,1,0,1,0,1.4673204373084658,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2011-10-07,19.799999237060547,19.84478201319219,1,0,1,0,0.04478277613164394,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
